,antecedent,consequent,support,confidence,len
9,"{'Hour=(12.0, 18.0]'}","Catalog=(1.0, 300.0]",0.3003412969283277,0.7404782993799823,2
13,"{'Hour=(6.0, 12.0]'}","Catalog=(1.0, 300.0]",0.2766301419076702,0.7421686746987952,2
2,{'Referrer=URI_0'},"Catalog=(1.0, 300.0]",0.21663373450691575,0.7269439421338155,2
6,{'Day=Monday'},"Catalog=(1.0, 300.0]",0.15951140650260465,0.7338842975206612,2
4,{'Day=Tuesday'},"Catalog=(1.0, 300.0]",0.15035027842644152,0.7479892761394101,2
10,"{'Hour=(18.0, 24.0]'}","Catalog=(1.0, 300.0]",0.13112987246272678,0.7278165503489532,2
0,{'Day=Wednesday'},"Catalog=(1.0, 300.0]",0.11298724627267828,0.7322467986030269,2
7,{'Referrer=URI_111'},"Catalog=(1.0, 300.0]",0.1111909466499012,0.7484885126964934,2
11,{'Day=Thursday'},"Catalog=(1.0, 300.0]",0.09969462906412789,0.7283464566929134,2
39,"{'Referrer=URI_0', 'Hour=(6.0, 12.0]'}","Catalog=(1.0, 300.0]",0.08891683132746542,0.7410179640718563,3
32,"{'Referrer=URI_0', 'Hour=(12.0, 18.0]'}","Catalog=(1.0, 300.0]",0.08694090174241063,0.7245508982035929,3
8,{'Day=Friday'},"Catalog=(1.0, 300.0]",0.07993533321358003,0.75809199318569,2
1,{'Referrer=URI_42'},"Catalog=(1.0, 300.0]",0.07957607328902461,0.784070796460177,2
29,"{'Day=Monday', 'Hour=(12.0, 18.0]'}","Catalog=(1.0, 300.0]",0.07095383509969463,0.7383177570093458,3
31,"{'Hour=(6.0, 12.0]', 'Day=Tuesday'}","Catalog=(1.0, 300.0]",0.06897790551463984,0.7544204322200392,3
41,"{'Day=Monday', 'Hour=(6.0, 12.0]'}","Catalog=(1.0, 300.0]",0.06143344709897611,0.7402597402597402,3
3,{'Referrer=URI_80'},"Catalog=(1.0, 300.0]",0.06143344709897611,0.711018711018711,2
12,{'Day=Saturday'},"Catalog=(1.0, 300.0]",0.059098257589365905,0.7477272727272727,2
34,"{'Day=Tuesday', 'Hour=(12.0, 18.0]'}","Catalog=(1.0, 300.0]",0.05550565834381175,0.7463768115942029,3
24,"{'Referrer=URI_0', 'Day=Monday'}","Catalog=(1.0, 300.0]",0.048679719777258844,0.7150395778364116,3
42,"{'Referrer=URI_111', 'Hour=(12.0, 18.0]'}","Catalog=(1.0, 300.0]",0.04796119992814801,0.7478991596638656,3
21,"{'Day=Wednesday', 'Hour=(12.0, 18.0]'}","Catalog=(1.0, 300.0]",0.0476019400035926,0.7381615598885793,3
19,"{'Referrer=URI_0', 'Day=Tuesday'}","Catalog=(1.0, 300.0]",0.04652416022992635,0.7442528735632185,3
16,"{'Hour=(6.0, 12.0]', 'Day=Wednesday'}","Catalog=(1.0, 300.0]",0.042213041135261364,0.7366771159874608,3
26,"{'Hour=(6.0, 12.0]', 'Day=Thursday'}","Catalog=(1.0, 300.0]",0.041853781210705945,0.7236024844720497,3
36,"{'Day=Thursday', 'Hour=(12.0, 18.0]'}","Catalog=(1.0, 300.0]",0.03790192204059637,0.735191637630662,3
14,{'Referrer=URI_39'},"Catalog=(1.0, 300.0]",0.03682414226693012,0.8007812499999999,2
20,"{'Hour=(6.0, 12.0]', 'Referrer=URI_111'}","Catalog=(1.0, 300.0]",0.03682414226693012,0.7481751824817517,3
38,"{'Referrer=URI_42', 'Hour=(12.0, 18.0]'}","Catalog=(1.0, 300.0]",0.03466858271959763,0.8008298755186722,3
15,"{'Day=Friday', 'Hour=(6.0, 12.0]'}","Catalog=(1.0, 300.0]",0.033590802945931385,0.7420634920634921,3
23,"{'Referrer=URI_0', 'Day=Thursday'}","Catalog=(1.0, 300.0]",0.03287228309682055,0.76890756302521,3
25,"{'Referrer=URI_0', 'Day=Wednesday'}","Catalog=(1.0, 300.0]",0.032692653134542844,0.7000000000000001,3
5,"{'Hour=(-0.001, 6.0]'}","Catalog=(1.0, 300.0]",0.031435243398598885,0.7575757575757575,2
22,"{'Referrer=URI_0', 'Hour=(18.0, 24.0]'}","Catalog=(1.0, 300.0]",0.03107598347404347,0.6892430278884462,3
27,"{'Day=Friday', 'Hour=(12.0, 18.0]'}","Catalog=(1.0, 300.0]",0.02784264415304473,0.748792270531401,3
18,"{'Hour=(12.0, 18.0]', 'Day=Saturday'}","Catalog=(1.0, 300.0]",0.0249685647566014,0.7128205128205128,3
30,"{'Hour=(6.0, 12.0]', 'Referrer=URI_80'}","Catalog=(1.0, 300.0]",0.02317226513382432,0.7371428571428571,3
33,"{'Hour=(12.0, 18.0]', 'Referrer=URI_80'}","Catalog=(1.0, 300.0]",0.022813005209268905,0.6827956989247311,3
35,"{'Referrer=URI_0', 'Day=Friday'}","Catalog=(1.0, 300.0]",0.0226333752469912,0.736842105263158,3
17,"{'Referrer=URI_111', 'Hour=(18.0, 24.0]'}","Catalog=(1.0, 300.0]",0.02245374528471349,0.7621951219512195,3
28,"{'Day=Monday', 'Hour=(18.0, 24.0]'}","Catalog=(1.0, 300.0]",0.022094485360158074,0.7192982456140351,3
43,"{'Hour=(6.0, 12.0]', 'Referrer=URI_0', 'Day=Monday'}","Catalog=(1.0, 300.0]",0.02173522543560266,0.7515527950310559,4
40,"{'Referrer=URI_111', 'Day=Tuesday'}","Catalog=(1.0, 300.0]",0.021196335548769533,0.7065868263473054,3
37,"{'Day=Monday', 'Referrer=URI_111'}","Catalog=(1.0, 300.0]",0.020657445661936412,0.7371794871794872,3
